名称,价格,居室,大小,状态,标签,区域,附近学校,地址
宝湾国际·5.4米公馆,8500,宝湾国际5.4米公馆有95折优惠及部分特价房源在售,,在售,商住公寓/品牌地产/小户型/景观居所,[二,,[二环以外]长丰淮南路与天水路交口向北500米,
文一·豪门金地,18650,3居/4居/5居以上,115~157平米,在售,普通住宅/叠拼/湖景地产,[二,,[二环以外]滨湖新区南宁路与西藏路交口西北角,
祥源花世界,12800,2居/3居/4居,93~127平米,在售,普通住宅/低总价/景观居所/旅游地产,[二,,[二环以外]肥西金寨南路与深圳路西北侧,
信达华宇锦绣龙川,21500,3居/4居,99~129平米,在售,普通住宅/品牌地产/地铁沿线,[二,,[二环以外]包河区龙川路与北京路交口东500米,
文一名门森林语,12800,3居/4居,101~162平米,在售,叠拼/花园洋房/品牌地产/山景地产,[二,,[二环以外]肥西繁华大道与紫蓬路交口,
翡翠天际,22000,3居/4居/5居,100~328平米,在售,普通住宅/花园洋房/品牌地产/地铁沿线,[二,,[二环以外]包河区龙川路与北京路交口东北角,
恒大中央广场,17000,2居/3居/4居,85~165平米,在售,酒店写字楼/经济住宅,[一,,[一环以内]瑶海区合肥市一环内明光路与胜利路交口北50米,
金大地禧悦公馆,13500,3居,89~103平米,在售,普通住宅/市场类商铺/品牌地产,[二,,[二环以外]长丰阜阳北路与金海路交叉口,
保利·柏林之春,16500,2居/3居/4居,95~143平米,在售,普通住宅/品牌地产,[二,,[二环以外]高新区长江路与鸡鸣山路交口西北处,
文一铂金中心,7500,3居,55平米,在售,商住公寓/品牌地产/小户型/景观居所,[二,,[二环以外]肥东包公大道与祥和路交口西100米,
丽丰璞羽山,18500,3居/4居,104~130平米,在售,联排/普通住宅/品牌地产/低密居所,[二,,[二环以外]蜀山区振兴路与宝月路交口向西约300米,
龙湖·瑶海天街,11500,龙湖·瑶海天街在售中,,在售,商住楼/品牌地产/地铁沿线/酒店式公寓,[二,,[二环以外]瑶海区长江东路与王岗路交叉口,
保利时代,13000,3居,95~109平米,在售,普通住宅/品牌地产,[二,,[二环以外]长丰阜阳北路与龙湖北路向东300米,
文一·锦门桃李,12600,3居/4居,93~108平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]长丰谯城路与龙湖路交口西南角,
文一锦门繁华里,7199,3居/4居,93~105平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]长丰水湖镇南二环与长淮路交口,
禹洲绿城蘭园,23350,3居/4居,110~155平米,在售,普通住宅/花园洋房/品牌地产/地铁沿线,[二,,[二环以外]滨湖新区包河大道与万泉河路交汇处,
恒基旭辉铂悦·天汇,24998,3居/4居/5居,120~190平米,在售,普通住宅/住宅底商/品牌地产/地铁沿线,[二,,[二环以外]滨湖新区包河大道与南京路交口,
华润万橡府,14000,3居/4居,103~125平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]新站区新站区东方大道与相山路交口,
皖投万科·产融中心,17500,皖投万科·产融中心均价为：17500元/平方米,,在售,普通住宅/标准写字楼/湖景地产,[二,,[二环以外]经开区繁华大道与宿松路交口西北角,
龙湖·天境,17500,3居/4居,100~165平米,在售,普通住宅/花园洋房/品牌地产/景观居所,[二,,[二环以外]蜀山区振兴路与宝月路交口,
金隅南七里,22000,3居/4居,138~330平米,在售,普通住宅/商住公寓/品牌地产/,[一,合肥市五十中学东校/教育局划片//合肥市五十中学东校/合肥市第六十九中学,[一至二环]蜀山区望江西路以南、金寨路以西,
禹洲中央城,14500,3居/4居,79~133平米,在售,普通住宅/品牌地产/经济住宅/,[二,合肥市七里塘小学/教育局划片//合肥市七里塘小学/合肥市第三十中学,[二环以外]新站区新蚌埠路与北二环交口向北约500米,
禹洲·郎溪上里,15000,2居/3居,77~122平米,在售,普通住宅/品牌地产,[二,,[二环以外]瑶海区郎溪路以东、明皇路以北,
合肥海伦国际,12000,1居,45平米,在售,市场类商铺/标准写字楼/地铁沿线/loft,[二,,[二环以外]滨湖新区锦绣大道与庐州大道交叉口滨湖会展中心地铁1号线a出口,
融创·滨湖印,30000,3居/4居/5居,115~227平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]滨湖新区扬子江路与湖北路交口,
中南·樾府,19000,3居/4居,96~130平米,在售,普通住宅/花园洋房/品牌地产/地铁沿线,[一,,[一至二环]高新区方兴大道与彩虹路交口以南,
融创合肥壹号院,23000,1居/4居,45~167平米,在售,商住楼/品牌地产,[二,,[二环以外]政务区天鹅湖东路与齐云山路交口东南角,
葛洲坝·中国府,35010,4居/5居,145~185平米,在售,叠拼/花园洋房/品牌地产,[二,,[二环以外]滨湖新区洞庭湖路以南、华山路以东,
新城·合肥大都会,24000,5居,145平米,在售,普通住宅/住宅底商,[二,,[二环以外]滨湖新区南京路与华山路交口,
金鹏麓山院,18000,3居/4居,89~135平米,在售,普通住宅/花园洋房/地铁沿线/低密居所,[二,,[二环以外]高新区方兴大道与彩虹路交口西南,
建发·雍龙府,23800,3居/4居,112~144平米,在售,联排/普通住宅/品牌地产,[二,,[二环以外]包河区(西临政务区)习友路与金寨路交口向东2200米,
万科苏高新·中央公园,13900,3居/4居,100~173平米,在售,普通住宅/花园洋房/不限购/公园地产,[二,,[二环以外]长丰阜阳北路与泉河路交口西南角,
中国铁建清溪国际·樾园,16155,3居,86~130平米,在售,普通住宅/品牌地产/地铁沿线,[一,,[一至二环]蜀山区清溪路与西一环路交口向西300米,
翡丽东方,11000,3居/4居,95~103平米,在售,普通住宅/花园洋房,[二,,[二环以外]瑶海区半塔北路与丰乐亭路交口,
汇景城市中心,11000,汇景城市中心位于高新区,,在售,商住公寓/酒店写字楼/小户型,[二,,[二环以外]高新区望江西路与创新大道交汇处(高新区管委会对面),
龙湖·春江紫宸,13800,3居/4居,89~119平米,在售,普通住宅/花园洋房/品牌地产/低密居所,[二,,[二环以外]新站区文忠路与学林路交口西500米,
御璟·江山,20000,3居/4居/5居/5居以上,143~456平米,在售,普通住宅/双拼/湖景地产/山景地产,[二,,[二环以外]蜀山区科学岛路与湖光路交口向北500米,
旭辉翡翠江来,14600,3居/4居,95~118平米,在售,普通住宅/品牌地产,[二,,[二环以外]肥西翡翠路与派河大道交口,
文一泰禾合肥院子,17000,4居/5居/5居以上,155~329平米,在售,合院/普通住宅,[二,,[二环以外]庐阳区西二环董铺路与四里河路交口(董铺路999号),
金隅金成府,19500,3居/4居,83~135平米,在售,普通住宅/品牌地产,[一,,[一至二环]包河区太湖路与铜陵路交口向北400米(东北侧),
融创望海潮,31000,4居/5居/5居以上,156~387平米,在售,叠拼/花园洋房/品牌地产/低密居所,[二,,[二环以外]滨湖新区嘉陵江路与湖南路交口西南角,
融侨观澜,13000,1居/2居,42~55平米,在售,商住楼/小户型/loft,[二,,[二环以外]包河区合作化南路与龙川路交口,
绿地中心,6000,5居以上,1475平米,在售,商业,[一,,[一至二环]包河区南二环路与宿松路西南交口,
保利海上五月花D9,11000,保利海上五月花D9持续在售中,,在售,商住公寓/品牌地产/小户型,[二,,[二环以外]滨湖新区嘉陵江路与庐州大道交口西北侧(万达茂对面),
中海城,13500,3居/4居/5居,98~320平米,在售,普通住宅/品牌地产/低密居所,[二,,[二环以外]肥东新安江路与大众路交口向南600米,
高速·时代御府,14500,3居/4居,99~153平米,在售,普通住宅/花园洋房/品牌地产/地铁沿线,[二,,[二环以外]肥西青龙大道与潭冲路交汇处东南侧,
保利罗兰香谷,14300,3居/4居,92~134平米,在售,普通住宅/品牌地产/低密居所,[二,,[二环以外]新站区相城路与淮海大道交口西北角,
融创长江壹号,23000,3居/4居,98~145平米,在售,普通住宅/品牌地产,[二,,[二环以外]庐阳区北二环与颍上路交口,
皖投国滨世家,14500,3居,101~113平米,在售,普通住宅/花园洋房/品牌地产/地铁沿线,[二,,[二环以外]肥西上派镇灯塔路以南、妙道山路以东,
合肥云谷,24000,合肥云谷在售商业,,在售,综合体/总部园区/湖景地产,[二,,[二环以外]滨湖新区徽州大道与云谷路交口向西900米,
金科·海昱东方,14600,3居/4居,111~139平米,在售,普通住宅/花园洋房/品牌地产/公园地产,[二,,[二环以外]瑶海区和平路与障山路交口,
绿都地产少荃府,14000,3居/4居/5居,96~130平米,在售,普通住宅/品牌地产/低密居所/花园洋房,[二,,[二环以外]新站区新站区前岭路与龙子湖路交叉口,
新城吾悦广场,11500,3居/4居,88~143平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]肥东长江东路与桥头集路交汇处东南角,
中梁力高云湖印,13000,3居/4居,87~123平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]长丰阜阳北路与登梅路交口(梅冲湖中学正对面),
滨湖金茂悦,23000,3居/4居,95~144平米,在售,普通住宅/花园洋房/品牌地产/景观居所,[二,,[二环以外]滨湖新区包河大道与福州路交口向西200米,
海尔产城创云玺,16500,3居/4居,110~150平米,在售,普通住宅/品牌地产/经济住宅,[二,,[二环以外]经开区繁华大道与习友路交口,
合景映月湾,21200,2居/3居,89~141平米,在售,普通住宅/住宅底商/品牌地产/水景地产,[一,,[一至二环]庐阳区临泉路与肥西路交口北200米,
正荣府,18400,4居,140平米,在售,普通住宅/品牌地产,[二,,[二环以外]滨湖新区珠江路与昌都路交口东北角,
华润桃源里,16000,3居/4居,133~183平米,在售,普通住宅/花园洋房/中式地产/,[二,合肥市蜀山中学/教育局划片,[二环以外]蜀山区科学岛路与湖光路交汇处东北角,
中海世家,19500,4居/5居/5居以上,125~350平米,在售,普通住宅,[二,,[二环以外]蜀山区沁园路与宝月路交口东北角,
禹洲·平湖秋月,18000,3居,126~137平米,在售,普通住宅/景观居所,蜀山,,蜀山区枫林路与雪霁北路交叉口(四季花海旁),
皖投万科·天下艺境,13800,3居/4居,106~130平米,在售,普通住宅/花园洋房/品牌地产/低密居所,[二,,[二环以外]新站区龙子湖路与前岭路的交口向东200米,
和悦风华,13196,3居/4居,93~117平米,在售,普通住宅,[二,,[二环以外]瑶海区障山路与裕溪路交口东北角,
新城·悦隽九里,11500,3居/4居,94~125平米,在售,普通住宅/品牌地产,[二,,[二环以外]长丰朝阳路与育才路交口,
文一塘溪津门,20000,3居/4居,132~175平米,在售,普通住宅/叠拼/品牌地产,[二,,[二环以外]滨湖新区包河大道和杭州路交口,
北雁湖金茂湾,18500,3居/4居,125~183平米,在售,普通住宅/叠拼/品牌地产/湖景地产,[二,,[二环以外]高新区习友路与永和路交叉口向西100米(北雁湖西岸),
祥源·金港湾,19008,3居/4居/5居/5居以上,107~288平米,在售,普通住宅/花园洋房/湖景地产,[二,,[二环以外]高新区长宁大道以西、云飞路以北,
融创信达政务壹号,38000,4居,142~163平米,在售,普通住宅/商住公寓/品牌地产,[一,,[一至二环]政务区南二环与茗香路交汇处,
融创城,27000,3居/4居,105~189平米,在售,普通住宅/商业/品牌地产/,[二,合肥市六安路小学翠微分校/教育局划片//合肥市六安路小学翠微分校/合肥市四十五中芙蓉分校,[二环以外]经开区翡翠路与石笋路交口以南(安医大二附院对面),
绿地柏仕公馆,13800,1居/2居/3居/4居,43~136平米,在售,普通住宅/花园洋房/品牌地产/低密居所,[二,,[二环以外]新站区烈山路与岱河路交口,
学林春晓,14000,3居,92~110平米,在售,普通住宅/花园洋房,[二,,[二环以外]新站区学林路与文忠路交口向西400米,
奥园城市天地,17000,2居/3居/4居,100~225平米,在售,联排/普通住宅/品牌地产/,[二,合肥市蜀山小学/教育局划片//合肥市蜀山小学/合肥市蜀山中学,[二环以外]蜀山区长江西路与万泽路交叉口,
远洋庐玥风景,9900,2居/3居/4居,89~146平米,在售,普通住宅/品牌地产/低密居所/花园洋房,[二,,[二环以外]肥东裕溪路与桥头集路西北角,
禹洲珑玥湾,15000,3居/4居,105~128平米,在售,普通住宅/品牌地产,[二,,[二环以外]瑶海区新安江路以南、天门山路以西,
都荟上城,12000,3居,95~117平米,在售,普通住宅/花园洋房/品牌地产/国际化社区,[二,,[二环以外]长丰阜阳北路与济河路交口向东200米,
绿城招商·诚园,22000,3居/4居/5居,103~174平米,在售,普通住宅/花园洋房,[二,,[二环以外]滨湖新区珠江路与昌都路交口北侧200米,
华润紫玥台,11000,3居,90~102平米,在售,普通住宅/花园洋房,[二,,[二环以外]肥东东风大道与新世界路交口向西200米,
合肥唐宁府,25770,4居,156~158平米,在售,普通住宅,[一,,[一至二环]庐阳区茨河路与界首路交口东北角,
万科·公园大道,13800,2居/3居,89~125平米,在售,普通住宅/花园洋房/品牌地产/不限购,[二,,[二环以外]长丰阜阳北路与清颖路交口东南角,
江山·庐州印,17000,3居,107~143平米,在售,普通住宅/花园洋房/地铁沿线/公园地产,[二,,[二环以外]庐阳区合淮路与枣园路交口,
金鹏·壹品天成,18500,3居/4居,104~150平米,在售,普通住宅/品牌地产/地铁沿线,[二,,[二环以外]滨湖新区贵阳路与贵州路交口西北角,
招商·公园1872,14700,3居,97~142平米,在售,普通住宅/品牌地产/低密居所,[二,,[二环以外]新站区梦溪路与岱河路交口,
银城旭辉·樾溪臺,14500,3居/4居,89~118平米,在售,花园洋房,[二,,[二环以外]新站区淮海大道与毕升路交口,
庐江美的城,8200,3居/4居,118~129平米,在售,普通住宅/花园洋房/品牌地产/湖景地产,[二,,[二环以外]庐江湖岗路与移湖西路交口西北角,
力高天悦府,10450,3居,92~130平米,在售,普通住宅/商业/品牌地产,[二,,[二环以外]肥东撮镇路与红旗路交口,
合景·庐江壹号,7800,3居/4居/5居,111~160平米,在售,普通住宅/花园洋房/品牌地产/现房,[二,,[二环以外]庐江白山路与盛桥路交叉口西北侧,
铂悦庐州府|北辰旭辉中心,10894,1居,1000平米,在售,标准写字楼/市场类商铺/品牌地产,[二,,[二环以外]庐阳区怀宁北路与固镇路交口,
产融中心,9500,产融中心写字楼房源在售,,在售,标准写字楼/品牌地产/地铁沿线,[二,,[二环以外]经开区合肥市经开区繁华大道和宿松路交口西北角,
招商城市主场,13000,1居,45~15001平米,在售,标准写字楼/商业/品牌地产,[二,,[二环以外]滨湖新区包河大道与南京路交口东北角,
万科森林公园,20000,万科森林公园住宅底商均价33000元/平方米,,在售,普通住宅/住宅底商/景观居所/,[一,合肥市南门小学森林城校区/教育局划片//合肥市南门小学森林城校区/合肥市第四十五中学森林城校区,[一至二环]庐阳区北二环与四里河路交口西南角,
翡翠正荣府,14500,3居/4居,92~113平米,在售,普通住宅/叠拼/品牌地产,[二,,[二环以外]肥西翡翠路与仙霞路交口,
远洋·万和云锦,10300,3居,88~110平米,在售,普通住宅/品牌地产,[二,,[二环以外]肥东包公大道与柳孜路交口西南角,
美好上院,11600,2居/3居/4居,77~104平米,在售,普通住宅/品牌地产/小户型,[二,,[二环以外]肥东东风大道与瑶岗路交口,
绿地合肥城际空间站,9000,1居,18平米,在售,酒店写字楼,[二,,[二环以外]包河区高铁南站北广场,
东怡中心,10500,1居,104平米,在售,酒店写字楼/品牌地产,[一,,[一环以内]庐阳区蒙城北路与寿春路交口西北角,
合肥雅郡,13500,3居,92~110平米,在售,普通住宅,[二,,[二环以外]新站区卧龙湖路与龙子湖路交口,
栢悦湾,14700,2居/3居/4居,95~149平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]肥西青年路与潭冲河交口西北角,
信达·庐阳府,16500,3居/4居,89~125平米,在售,普通住宅/品牌地产/科技住宅,[二,,[二环以外]庐阳区蒙城路与汲桥路交口东南角,
美的·金科郡,13500,3居/4居,92~122平米,在售,普通住宅/品牌地产,[二,,[二环以外]新站区淮海大道与相城路交口,
荣盛·书香府邸,12700,3居/4居,90~120平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]肥东新安江路与皇甫山路交口向南300米,
龙湖丽丰·西宸原著,20900,3居,266~300平米,在售,联排/品牌地产,[二,,[二环以外]蜀山区振兴路与白莲岩路交口北300米,
孔雀城时代北宸,6700,3居/4居/5居,88~212平米,在售,联排/普通住宅/品牌地产,[二,,[二环以外]长丰合水路与青杨大道交汇处,
鹭山湖,12000,3居/4居/5居,140~345平米,在售,别墅/特色别墅/花园洋房/景观居所,[二,,[二环以外]长丰合淮路卧龙山生态园区(中国非物质文化遗产园对面),
蓝光芙蓉香颂,9800,3居/4居,93~134平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]巢湖巢湖市旗麓路与前进路交口东北角,
恒大水晶国际广场,9800,恒大水晶国际广场在售价格为：9800元/平方米,,在售,普通住宅/商住公寓,[二,,[二环以外]包河区金寨路与龙川路交口向东300米,
安建锦绣花园,8200,3居/4居,110~129平米,在售,普通住宅/中式地产,[二,,[二环以外]肥东撮镇东部新城区合马路与店忠路交口向北200米,
宝湾国际,7000,宝湾国际在售价格为：7000元/平方米,,在售,市场类商铺/品牌地产/复合地产,[二,,[二环以外]长丰北二环淮南北路与天水路交汇处向北500米,
科创北城,9000,科创北城有独栋商业在售,,在售,酒店写字楼/总部园区,[二,,[二环以外]长丰阜阳北路与汤都路交汇处西北角,
万科未来之光,13500,3居/4居,95~240平米,在售,联排/普通住宅/不限购,[二,,[二环以外]肥东长江东路与护城路交口东北(水利东方国际会议中心向西300米),
金科·博翠天辰,21000,3居/4居/5居/5居以上,103~166平米,在售,普通住宅/花园洋房,[二,,[二环以外]包河区北京路与黄河路交口北100米,
金地自在城,14400,3居/4居,89~119平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]长丰蒙城北路与泉河路交口,
御景城,16700,3居,89~125平米,在售,普通住宅/景观居所,[二,,[二环以外]高新区香樟大道与习友路交口向西200米,
蓝光·林肯公园,13500,3居/4居,91~201平米,在售,普通住宅/花园洋房/品牌地产/低密居所,[二,,[二环以外]新站区岱河路以南_烈山路以西,
城建琥珀东华府,15500,2居/3居,107~142平米,在售,普通住宅/花园洋房/品牌地产/景观居所,[二,,[二环以外]瑶海区门台路与半塔南路交口西南,
城建琥珀蜀熙府,16000,2居/3居/4居,97~129平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]蜀山区西二环路以西、樊洼路以南,
招商雍和府,20000,4居,133~134平米,在售,普通住宅/花园洋房/品牌地产/地铁沿线,[二,,[二环以外]滨湖新区紫云路与上海路交口东南角,
华地·紫悦府,13500,3居/4居,92~121平米,在售,普通住宅/低密居所/景观居所,[二,,[二环以外]新站区大众路与涣水路交口西南角,
恒大帝景,6400,1居/2居/3居,53~130平米,在售,标准写字楼/景观居所,[二,,[二环以外]长丰阜阳北路与泉阳路交口东南角,
合肥启迪科技城,7200,1居,2072~3200平米,在售,普通住宅/企业独栋/湖景地产/科技住宅,[二,,[二环以外]经开区宿松路与锦绣大道交口西200米招商中心,
安粮国贸中心,11500,安粮国贸中心均价为：11500元/平方米,,在售,标准写字楼,[一,,[一至二环]蜀山区金寨南路811号,
星海城,9000,1居,58~66平米,在售,普通住宅/商用公寓/地铁沿线/酒店式公寓,[一,,[一至二环]包河区马鞍山路与南二环路交口,
保利熙悦府,15300,3居/4居,100~164平米,在售,商住楼/品牌地产,[一,,[一至二环]瑶海区铜陵路与裕溪路交口西北,
伟星国宾台,24000,4居,148平米,在售,普通住宅/花园洋房/品牌地产/低密居所,[一,,[一至二环]蜀山区望江西路与石台路交口向北50米,
安建·翰林天筑,13200,1居/2居/3居/4居,45~125平米,在售,普通住宅/商业/品牌地产/低密居所,[二,,[二环以外]瑶海区新安江路与大众路交口,
祥源·玖悦湾,11000,2居/3居/4居,80~113平米,在售,普通住宅/花园洋房/不限购,[二,,[二环以外]长丰岗集镇合淮路与育才路交汇处西侧(衡安学校对面),
闽商国贸中心,10500,1居,0~60平米,在售,标准写字楼/品牌地产/豪华居住区/酒店式公寓,[一,,[一至二环]瑶海区七里站街道长江东大街277号,
碧桂园·时代倾城,15800,3居/4居,96~148平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]庐阳区合淮路与三国城路交口向北300米,
北雁湖·玥园,20000,3居/4居,126~155平米,在售,普通住宅/花园洋房,[二,,[二环以外]高新区永和路与复兴路交叉口北雁湖畔,
城建琥珀御宾府,15500,3居/4居,96~190平米,在售,普通住宅/叠拼/品牌地产,[二,,[二环以外]肥西上派镇天海路以南、滨河北路以东,
奥园城央壹品,18999,1居/2居,45~83平米,在售,普通住宅/商业/品牌地产/地铁沿线,[一,,[一至二环]蜀山区黄山路与金寨路向西200米(赛博数码广场),
水安盛世桃源,11800,1居,40平米,在售,普通住宅/小户型/景观居所/经济住宅,[二,,[二环以外]经开区金寨南路与丹霞路交口西南角,
世纪中心,16000,1居/2居,45~59平米,在售,酒店式公寓/小户型,[一,,[一环以内]庐阳区北一环与蒙城路交口向东100米,
蔚蓝商务港,15000,蔚蓝商务港在售价格为：15000元/平方米,,在售,标准写字楼/loft,[二,,[二环以外]政务区潜山路与湖东路交叉口东北,
蓝光雍锦半岛,28000,3居/4居/5居以上,105~449平米,在售,普通住宅/双拼/品牌地产,[二,,[二环以外]高新区长宁大道与彩虹路交口东北角,
美好时代,14500,3居/4居,95~129平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]瑶海区长江东路与大众路交口二号线三十埠站向南约300米,
阳光城悦澜府,22000,3居/4居,98~134平米,在售,普通住宅/花园洋房,[一,,[一至二环]包河区望江东路与铜陵路交口西北角,
丽晶华庭,6000,2居/3居/4居,95~166平米,在售,普通住宅/水景地产/低密居所/教育地产,[二,,[二环以外]居巢区金湖大道项目南侧,
文一·春风里,9500,文一·春风里均价为：9500元/平方米,,在售,总部园区/品牌地产/小户型,[二,,[二环以外]滨湖新区徽州大道与南宁路交口,
加侨京冠学府壹号,6700,2居/3居/4居,90~119平米,在售,普通住宅/品牌地产,空港,,空港新城科学路与永乐路交口向北200米,
碧桂园·钻石湾,9800,3居/4居/5居,108~198平米,在售,普通住宅/叠拼/花园洋房/科技住宅,庐城,,庐城镇城东新区城东大道与白山路交叉口(庐江一中斜对面),
国贸景成,23000,3居/4居,103~128平米,在售,普通住宅/花园洋房/品牌地产,[二,,[二环以外]庐阳区固镇路与怀宁路交口,
天鹅湖ΜΟΜΛ,25800,1居/4居/5居,33~290平米,在售,普通住宅/花园洋房/品牌地产/科技住宅,[二,,[二环以外]政务区政务区祁门路与石台路交叉口,
美好·紫蓬山壹号,14500,3居/4居/5居,140~315平米,在售,别墅/特色别墅/湖景地产/山景地产,[二,,[二环以外]肥西紫蓬山风景区,
圣联梦溪小镇,14999,3居/5居,220~330平米,在售,联排/普通住宅/景观居所/,[二,合肥市第七十一中学/教育局划片,[二环以外]新站区职教城淮海大道与梦溪路交口,
中辰·优唐广场,16000,中辰·优唐广场在售价格为：16000元/平方米,,在售,标准写字楼/loft,[二,,[二环以外]包河区金寨南路157号,
中辰未来港,8000,1居/3居/4居,53~1260平米,在售,标准写字楼/品牌地产,[二,,[二环以外]包河区大连路121号,
高速滨湖时代广场金融中心,12000,1居/5居以上,50~1800平米,在售,标准写字楼/酒店写字楼/小户型,[二,,[二环以外]滨湖新区徽州大道与方兴大道交汇处以南,
正奇金融广场,9980,正奇金融广场均价为：9980元/平方米,,在售,其他/地铁沿线,[一,,[一至二环]庐阳区临泉路和昆仑路交口,
金辉·优步大道,12500,3居,88~99平米,在售,普通住宅/花园洋房,[二,,[二环以外]肥东新安江路与大众路交汇处,
正荣·悦都荟,14500,3居/4居,95~130平米,在售,普通住宅,[请,,[请选择]新站区淮海大道与大众路交口,
世茂国风,19200,4居/5居以上,181~339平米,在售,合院/普通住宅/地铁沿线/低密居所,[二,,[二环以外]高新区习友路与杨林路交叉口西北角,
合肥融创文旅城|梧桐街,20000,2居/3居/4居,86~182平米,在售,普通住宅/品牌地产/复合地产/湖景地产,[二,,[二环以外]滨湖新区徽州大道与嘉临江路交口东南角,
静安·春晖里,15500,3居/4居/5居,130~195平米,在售,普通住宅/品牌地产/低密居所/花园洋房,[二,,[二环以外]瑶海区龙岗路与姑溪路交口,
恒大中心,13000,1居/2居,40~2185平米,在售,商住楼/品牌地产/酒店式公寓,[二,,[二环以外]滨湖新区南宁路与衡山路交口,
