名称,价格,居室,大小,状态,标签,区域,附近学校,地址
世茂璀璨天悦,15500,匠心比心丨宽幕洋房素颜呈现完美刻度,,在售,普通住宅/花园洋房/品牌地产,平湖,,平湖永兴路南侧_嘉善塘东侧,
阳光城翡丽湾,12500,2居,74平米,在售,普通住宅/品牌地产,海盐,,海盐城东路1999号,
春风十里,11499,春风十里在售中,,在售,普通住宅/品牌地产/小户型,南湖,,南湖新区南湖区梅花洲景区附近,
新城中骏·悦隽半岛,16000,2居/3居,66~105平米,在售,普通住宅/品牌地产,嘉善,,嘉善罗星街道厍浜村、白水塘路南侧、厍浜港东侧,
中都华庭,14000,2居/3居/5居以上,78~128平米,在售,普通住宅,嘉善,,嘉善大云镇康兴西路85号,
孔雀城·翡翠天宸,15700,3居/4居,87~129平米,在售,普通住宅/叠拼,嘉善,,嘉善体育南路西侧_纬三路北侧,
翡翠·公馆,14999,2居/3居,88~92平米,在售,普通住宅,嘉善,,嘉善320国道与木业大道交叉口,
翡丽风华,19500,翡丽风华小高层、叠墅在售中,,在售,普通住宅/叠拼,嘉善,,嘉善白水塘西路与小里港交汇处(江南幼儿园西侧),
东亚·左岸嘉园,14000,2居,65~88平米,在售,普通住宅,嘉善,,嘉善姚庄镇河滨路学苑路交汇处,
吉翔大悦府,15000,2居/3居,74~96平米,在售,普通住宅/住宅底商,桐乡,,桐乡高桥新区乌镇大道与悦秀路交叉口,
保利西塘越,12500,1居/2居/3居/4居,64~303平米,在售,别墅/特色别墅/宜居生态地产,嘉善,,嘉善西塘镇宏福路。,
佳源·四季璟园,15300,3居/4居,97~133平米,在售,普通住宅,南湖,,南湖新区商务大道与爱民路交汇处,
新希望锦棠里,13900,新希望·锦棠里丨5月爱的美好季 让美力发生,,在售,普通住宅/商业,南湖,,南湖新区嘉兴市实验小学西校区东500米,
龙润壹城,14450,龙润壹城最后93席 静候珍藏,,在售,普通住宅/低密居所/公园地产,南湖,,南湖新区南湖区凌公塘路与云东路交叉口往东300米,
龙光·西塘江南大境,19000,2居/3居/4居,74~138平米,在售,联排/花园洋房/品牌地产,嘉善,,嘉善宏福路与宏盛路交汇处,
中洲碧桂园·花溪源著,9750,3居/4居,118~174平米,在售,普通住宅/叠拼/花园洋房/水景地产,秀洲,,秀洲新区王店镇花园路西侧梅里小学对面,
碧桂园·天凝源著,11000,2居/3居/4居,73~143平米,在售,普通住宅/花园洋房/品牌地产/宜居生态地产,嘉善,,嘉善天凝大道与东方路交汇处(天凝人民政府西侧),
万科翡翠四季,13950,3居,96~116平米,在售,普通住宅/品牌地产,南湖,,南湖新区纺工路与万兴路交叉口,
海伦堡氿月湾,11000,2居/3居/4居,75~125平米,在售,普通住宅,平湖,,平湖乍浦镇黄山路东侧、外环路南侧,
万城·赞园,11650,2居/3居,99~140平米,在售,普通住宅/国际化社区/豪华居住区/水景地产,秀洲,,秀洲新区中环北路与禾平街交叉口北300米,
石榴·湘湖湾,8800,3居,85~95平米,在售,花园洋房/品牌地产,南湖,,南湖新区潭湘路以南、潭港以西,
东方禾苑,14000,3居/4居,92~136平米,在售,普通住宅/花园洋房/品牌地产/宜居生态地产,国际,,国际商务区商务大道与爱民路交汇处,
龙光·玖誉湾,19000,3居/4居,92~122平米,在售,联排/普通住宅/品牌地产/特色别墅,嘉善,,嘉善人民大道和环西南路交界处_泗洲中学旁,
交投祥生白鹤郡,11550,2居/3居/4居,75~141平米,在售,联排/普通住宅/景观居所/宜居生态地产,南湖,,南湖新区余新镇新昌路与渔里路交汇处(余新镇政府斜南侧),
大树·彩虹里,11000,1居/2居/3居,75~118平米,在售,商住公寓/品牌地产/国际化社区,国际,,国际商务区纺工路与三环南路交叉口(大树英格澜)对面,
万科桂语东方,18000,3居/4居,89~160平米,在售,叠拼/品牌地产/湖景地产,海宁,,海宁人民大道与景德路交叉口往北200米,
秀湖中粮祥云,15000,4居,125~165平米,在售,普通住宅/花园洋房/品牌地产,秀洲,,秀洲新区木桥港路与秀港路交界处,
绿城华景川蘭园,18000,3居/4居,89~157平米,在售,普通住宅/品牌地产,海宁,,海宁海宁市万隆路与崇文路,
九龙山壹号,16000,1居/2居/3居,55~123平米,在售,普通住宅/湖景地产/景观居所/水景地产,平湖,,平湖九龙山旅游度假区,
大众·嘉苑,17000,2居/3居/4居,70~129平米,在售,普通住宅/旅游地产,嘉善,,嘉善晋阳东路与之江路交汇处,
恒大·御景湾,12500,3居/4居,93~135平米,在售,普通住宅/品牌地产/景观居所/公园地产,平湖,,平湖嘉兴港区(乍浦)龙湫路与陈山路交汇处,
魏武宸章,13500,3居/4居,89~129平米,在售,普通住宅/品牌地产/宜居生态地产,嘉善,,嘉善魏塘街道320国道与善西公路交叉口,
华美公馆,13000,2居/3居/4居,71~113平米,在售,普通住宅,平湖,,平湖新埭镇芦席188号,
融创海越府,15800,2居/3居/4居,75~115平米,在售,合院/普通住宅/品牌地产,平湖,,平湖平湖市经济开发区平成路与新兴二路交汇处,
秀湖阳光云际,11000,1居,45平米,在售,酒店式公寓/国际化社区/创意地产/宜居生态地产,秀洲,,秀洲新区嘉兴市秀洲大道1329号,
新城悦隽,10000,2居/3居,67~87平米,在售,普通住宅/品牌地产,平湖,,平湖平湖市林埭镇林埭中学旁边,
中天·钱塘玥,18000,3居,89平米,在售,普通住宅,海宁,,海宁海宁市盐仓第二幼儿园东北,
桃李春风景苑,10500,3居/4居,89~129平米,在售,普通住宅/品牌地产,海宁,,海宁尖山新区新城路259号,
万朵·融杭府,18500,3居/4居,79~93平米,在售,普通住宅,海宁,,海宁团结公路北侧天顺西侧,
中国铁建花语江南,16200,中国铁建花语江南少量房源在售中,,在售,普通住宅/品牌地产/景观居所/公园地产,南湖,,南湖新区城南路中环南路交叉口,
海伦堡·观澜,8900,3居,92~106平米,在售,联排/普通住宅/景观居所/海景地产,海宁,,海宁尖山新区富江路与仙侠路交叉口(尖山高尔夫对面),
碧桂园·嘉南首府,8500,2居/3居/4居,89~147平米,在售,住宅底商/花园洋房/品牌地产,海盐,,海盐通元镇镇南路与武通路交叉口(星辰幼儿园对面),
万城·雅园,12800,2居/3居,75~109平米,在售,普通住宅/品牌地产,海宁,,海宁海宁庆东路与硤许交汇处,
卓越·平湖壹号,18000,4居,128~165平米,在售,普通住宅/品牌地产/宜居生态地产/公园地产,平湖,,平湖南市路与毓秀路交汇处,
中骏·悦景府,16400,2居/3居,77~89平米,在售,普通住宅,嘉善,,嘉善世纪大道灵秀路路口,
运河大公馆,10300,3居/4居,82~125平米,在售,普通住宅/品牌地产,秀洲,,秀洲新区王江泾闻川路461号(大润发玛特南侧),
中南·泓悦府,12500,1居/2居/3居,52~91平米,在售,普通住宅/花园洋房/品牌地产,平湖,,平湖外环路与建港路西北角,
当代和山悦MOMA,13000,2居/3居/4居,68~108平米,在售,花园洋房/品牌地产,平湖,,平湖港区雅山路近黄山路,
中南闻荷府,11000,中南闻荷府有商铺在售中,,在售,叠拼/花园洋房/品牌地产/湖景地产,秀洲,,秀洲新区嘉兴市秀洲区王江泾镇运河东路与北虹路的交汇处,
恒天祥符荡,19000,4居/5居,192~232平米,在售,联排/普通住宅/品牌地产,嘉善,,嘉善嘉善西塘祥符荡中兴路恒祥路口,
碧桂园北城春晓小区,18460,3居/4居/5居,105~166平米,在售,普通住宅/国际化社区/豪华居住区/宜居生态地产,桐乡,,桐乡梧桐街道秋华路与春晓路交叉口东北角,
凤鸣·紫金首府,10500,3居/4居,89~123平米,在售,普通住宅/花园洋房/低总价/小户型,桐乡,,桐乡桐乡市高新西二路与灵安路交叉口,
华景川万科潮起东方,21500,3居/4居/5居,84~148平米,在售,联排/普通住宅,海宁,,海宁高新区启潮路春石路交叉口西南角,
吉翔东郡,13800,3居/4居/5居,147~205平米,在售,普通住宅/品牌地产,海宁,,海宁碧海路石泾路交叉口,
鸿翔龙悦湾,8800,3居,79~88平米,在售,普通住宅,桐乡,,桐乡石门镇中心,
新西塘孔雀城 9.3期天樾府,17600,3居/4居,88~137平米,在售,普通住宅/花园洋房/景观居所/宜居生态地产,嘉善,,嘉善罗星街道体育南路西侧,
金地云栖湾,14700,2居/3居,75~95平米,在售,普通住宅,平湖,,平湖新埭镇新兴北路与新扬路交叉口东300米,
碧桂园·运河御景,8000,3居/4居/5居,120~220平米,在售,普通住宅/品牌地产,桐乡,,桐乡桐乡市石门镇育才路与子恺西路交叉口,
恒大香湖左岸,13500,2居/3居/5居/5居以上,95~356平米,在售,普通住宅/品牌地产/景观居所,湘家,,湘家荡灵湖东路与莲香街交叉口,
绿城·乌镇蘭园,19800,2居/3居/4居/5居,80~300平米,在售,独栋/花园洋房/品牌地产,桐乡,,桐乡乌镇子夜东路1258号,
禾峰·乾庄,9500,禾峰·乾庄在售均价约9500元/㎡,,在售,普通住宅/经济住宅/特色别墅,国际,,国际商务区余北大街以东北侧,
蓝城·春风桃源,9600,3居,87~97平米,在售,普通住宅/低总价/小户型/宜居生态地产,海盐,,海盐西塘桥东海大道与海景大道(规划)交汇处,
祥生·国玥公馆,19000,4居/5居/5居以上,155~270平米,在售,联排/普通住宅/品牌地产,桐乡,,桐乡振东新区二环东路西侧、校场东路北侧,
云湖·十里澜庭,19000,云湖·十里澜庭在售均价约19000元/㎡,,在售,商住楼/旅游地产,嘉善,,嘉善大云旅游度假区,
江南·钱塘里,11800,2居/3居,69~99平米,在售,普通住宅/品牌地产,海宁,,海宁海宁市盐官轻轨站旁学区房,
融信澜庭·启杭,12500,2居/3居,78~98平米,在售,普通住宅,海宁,,海宁斜桥街道大桥北路与嘉兴路交汇处,
合景尚峰,15600,2居/3居,65~85平米,在售,普通住宅/小户型,嘉善,,嘉善姚庄镇学仕路与姚庄大道交叉口,
中天·熙和诚品,12000,2居/3居,68~89平米,在售,普通住宅/花园洋房,平湖,,平湖新仓镇芦川新街99号,
奥山·禾堂樾里,13700,4居,130~144平米,在售,普通住宅,国际,,国际商务区新气象路与四联路交汇处,
春江天越,8800,2居/3居,66~91平米,在售,普通住宅,海盐,,海盐镇南路和通元路交汇处,
江南御苑,16500,2居,75~89平米,在售,普通住宅/小户型/经济住宅/不限购,嘉善,,嘉善经济开发区惠民街道泰山路,
孔雀城·悦玲珑,16100,2居/3居,65~85平米,在售,普通住宅,嘉善,,嘉善科技大道与子胥路路口,
荣正·金域兰庭,16000,3居/4居/5居以上,116~185平米,在售,普通住宅/叠拼/品牌地产,桐乡,,桐乡环城北路与稻乐路交叉口(凤鸣高中斜对面),
鸿翔杨柳郡,13800,鸿翔杨柳郡目前在售约88-128㎡高层,,在售,普通住宅,海宁,,海宁迎金路南侧、双学路西侧,
鸿翔·桃源府,8800,2居/3居,67~91平米,在售,普通住宅/花园洋房/低密居所/豪华居住区,海盐,,海盐南北湖大道与盐沈线交叉口,
招商·雍景湾,16500,3居/4居,125~149平米,在售,普通住宅,桐乡,,桐乡梧桐街道复兴路与振兴路交叉口,
柳岸春风,11000,2居/3居,64~106平米,在售,普通住宅/品牌地产,海盐,,海盐百步开发区百禾路,
鸿翔·东方郡,18000,2居/3居,80~88平米,在售,普通住宅/花园洋房/品牌地产,海宁,,海宁长安越川路与汉帛路交叉口,
碧桂园·蔚蓝,11000,2居/3居/4居,73~131平米,在售,普通住宅/小户型/景观居所/科技住宅,平湖,,平湖独山港镇聚福路8号,
旭弘春熙苑,10500,旭弘春熙苑经典小户型在售中,,在售,普通住宅,平湖,,平湖广陈镇广中南路东侧,
荣盛·锦绣外滩,12300,3居,87~107平米,在售,普通住宅,经济,,经济开发区城东路与鸣羊路交汇处东北,
大众湖滨花园,16500,2居,90平米,在售,普通住宅/经济住宅,嘉善,,嘉善善江公路东侧_世纪大道北侧_靠近客运中心,
御品公馆,12295,3居/4居/5居/5居以上,98~175平米,在售,普通住宅/花园洋房/品牌地产,南湖,,南湖新区中环北路与禾兴北路交汇处,
春风江南,8500,2居/3居,68~90平米,在售,花园洋房/品牌地产/小户型/低密居所,海盐,,海盐海盐通元镇通元广场西侧,
世合理想大地·静和里,11650,世合理想大地·静和里已申领预售,,在售,别墅/品牌地产/特色别墅,南湖,,南湖新区果园路1弄88号,
中国铁建花语堂,29600,中国铁建花语堂别墅建筑面积约370—650㎡在售,,在售,合院,南湖,,南湖新区城南路与博海路口,
锦城豪庭,15000,2居/3居,73~89平米,在售,普通住宅/品牌地产,嘉善,,嘉善姚庄大道与学仕路交汇处,
大发·融悦东方,12000,3居/4居,88~140平米,在售,普通住宅/品牌地产/水景地产/公园地产,秀洲,,秀洲新区城东路与长纤塘路交叉口,
海盐碧桂园中央公园,12000,3居/4居,98~143平米,在售,普通住宅/品牌地产,海盐,,海盐盐北路与滨海大道交汇处,
河山柳岸春风,8500,2居/3居/4居,68~110平米,在售,普通住宅/低总价/经济住宅,河山,,河山镇平安路与张桥路交汇处,
恒大·滨海御府,11000,2居/3居,81~125平米,在售,普通住宅/品牌地产,海盐,,海盐海盐县武原街道滨海大道与盐北路交叉口,
上置琥珀棠,10400,2居/3居/4居,92~137平米,在售,普通住宅/品牌地产,湘家,,湘家荡湘家荡旅游度假区灵湖东路,
绿城桂语钱塘,21000,3居/4居,89~133平米,在售,普通住宅/品牌地产/不限购/豪华居住区,海宁,,海宁长安镇之江北路与创智路交汇处,
吉翔·欣隆府,14500,2居/3居/4居,73~122平米,在售,联排/普通住宅/品牌地产,海宁,,海宁海宁市隆兴路95号,
中天·熙景诚品,13500,3居/4居,80~107平米,在售,普通住宅,平湖,,平湖建新路1号,
融创·海逸长洲,12200,2居/3居,80~130平米,在售,独栋/普通住宅,海盐,,海盐盐北路鱼鳞塘路交叉口,
梦东方·梦幻嘉善,11000,1居/2居/3居,55~117平米,在售,标准写字楼/品牌地产,嘉善,,嘉善中国嘉善大云旅游度假区碧云路与花海大道交汇处,
欣隆盛世·半岛,12000,3居/4居,85~123平米,在售,普通住宅,平湖,,平湖平湖市中山东路华浦港湾西侧,
融创江南悦,15000,融创江南悦目前暂无房源在售,,在售,普通住宅/品牌地产/景观居所/水景地产,平湖,,平湖平兴大道(x501)与虹桥路交叉口,
福晟天地,12500,2居/3居/4居,38~116平米,在售,商住楼,平湖,,平湖南湾路与外环东路交汇处,
鸿翔龙悦府,9500,2居/3居,72~109平米,在售,普通住宅,海宁,,海宁袁花镇硖尖公路南街路交汇处,
华景川·碧海辰园,13000,2居/3居,59~112平米,在售,联排/普通住宅/品牌地产,海宁,,海宁宣德东路南侧_安星路西侧,
万城翡翠名邸,9500,万城翡翠名邸有房源在售 均价9500元/㎡,,在售,普通住宅,海盐,,海盐嘉兴海盐百步镇盐湖公路北侧_德胜路西侧,
龙湖·春江郦城,15200,3居/4居,81~122平米,在售,普通住宅/品牌地产/宜居生态地产,平湖,,平湖平湖宏建路和兴平一路交叉口,
海宁水岸名邸,13600,3居/4居,100~129平米,在售,普通住宅,海宁,,海宁碧海路与横山路交叉口,
海云间,11500,2居/3居,74~95平米,在售,普通住宅,海盐,,海盐武原街道盐北路百尺路101省道交汇处,
新城璟郡澜庭,13520,3居/4居,101~143平米,在售,普通住宅,海盐,,海盐海盐县环城南路南/武原中学西侧,
江南繁华里,16500,2居/3居,66~82平米,在售,普通住宅/品牌地产,海宁,,海宁海宁市周王庙镇民建路与桑梓路交汇处。,
科大柳岸晓风,11000,3居/4居,116~131平米,在售,普通住宅/花园洋房,桐乡,,桐乡洲泉镇环城南路与永兴路交叉口,
元宝湾二期,9500,2居/3居,82~103平米,在售,普通住宅,嘉善,,嘉善陶庄镇嘉善108县道和柳苑路交叉口,
鸿翔百合园,8000,2居/3居/4居,72~108平米,在售,普通住宅,海盐,,海盐浙江省嘉兴市海盐县永庆西路128号,
绿城·钱塘印月,15000,3居/4居,89~125平米,在售,普通住宅/低密居所/宜居生态地产,海宁,,海宁马桥街道新海公路与教育路交叉口,
桐乡荣安府,15451,3居/4居,92~144平米,在售,普通住宅/花园洋房/品牌地产,桐乡,,桐乡庆丰北路与秋韵路交叉口,
鸿翔悦澜湾,9000,2居/3居,72~105平米,在售,普通住宅/住宅底商,海宁,,海宁袁花镇硖石公路东侧与文浜路南侧,
麟湖·公元壹号,10600,麟湖·公元壹号主力户型面积77㎡-101㎡在售中,,在售,普通住宅/国际化社区/经济住宅/水景地产,经济,,经济开发区麟湖新城奥星路155号,
海盐江南春晓,10500,2居/3居,66~91平米,在售,普通住宅,海盐,,海盐望海新区长安北路与长丰路交叉口西侧200米,
旭辉星瀚城,16600,2居/3居,65~105平米,在售,普通住宅/品牌地产,嘉善,,嘉善嘉善县经一路和纬六路的交叉,
碧桂园·繁华里,15000,3居,96~133平米,在售,普通住宅,桐乡,,桐乡濮院镇紫金路与恒旺路交汇口,
安吉碧桂园凤凰府,14200,3居/4居/5居,125~265平米,在售,普通住宅/品牌地产/低密居所,中心,,中心城区安吉大道和三友路交汇处,
海盐吾悦广场,11818,3居/4居,98~140平米,在售,普通住宅/商业,海盐,,海盐海盐城西_枣园西路与中兴路的交汇处,
卡森卫星城,13000,3居,88~110平米,在售,普通住宅/花园洋房/低总价/小户型,海宁,,海宁海宁市海云路一号,
聚米·喆园,10500,3居/4居,87~120平米,在售,普通住宅,嘉善,,嘉善天凝镇东方路与天凝大道交汇处,
美好锦棠府,10040,2居/3居,82~92平米,在售,普通住宅/花园洋房,秀洲,,秀洲新区王江泾镇闻川路西侧_07省道东侧,
金地碧桂园风华四海,11700,3居/4居,95~140平米,在售,普通住宅/品牌地产,海盐,,海盐向阳北校区东 明珠路与创业路交叉口,
鸿翔海棠湾,11500,鸿翔海棠湾均价为：11500元/平方米,,在售,普通住宅/品牌地产,桐乡,,桐乡桐乡320国道凤鸣派出所,
宝龙世家,9800,宝龙世家在售均价约9800元/㎡,,在售,普通住宅/品牌地产,海宁,,海宁尖山新区凤凰路与富江路交汇处,
旭辉招商嘉樾府,18500,旭辉招商嘉樾府主力面积约120㎡、140㎡户型在售,,在售,普通住宅/品牌地产,嘉善,,嘉善环北西路_火车站南侧100米,
大发德商熙悦花苑,13800,3居,85~116平米,在售,普通住宅,桐乡,,桐乡乌镇黄金海岸酒店对面,
中天·江南公馆,15800,3居/4居,110~136平米,在售,普通住宅/国际化社区/复合地产/景观居所,桐乡,,桐乡濮院大道与桐星大道交叉口,
招商雍华府,21000,3居/4居,125~180平米,在售,普通住宅/花园洋房/品牌地产,桐乡,,桐乡振东新区圆明路和平东路交界处,
碧桂园阳光城崇德府,9500,3居/4居/5居,122~223平米,在售,普通住宅/花园洋房/经济住宅,桐乡,,桐乡崇福镇民丰路派出所西侧,
钱塘玉园,10500,2居/3居,70~89平米,在售,普通住宅,海宁,,海宁丁桥镇丁桥路文潮路交叉口,
融信澜庭,13500,3居/4居,89~120平米,在售,联排/普通住宅,海宁,,海宁斜桥镇庆万路与姚九线交汇处,
尖山凤起潮鸣,10000,3居,78~89平米,在售,普通住宅,海宁,,海宁尖山凤凰路与杭州湾大道交叉口,
大众湖滨公寓,11800,大众湖滨公寓LOFT在售,,在售,LOFT/loft,嘉善,,嘉善善江公路东侧_世纪大道北侧_靠近客运中心,
海樾风华,11000,2居/3居,77~89平米,在售,普通住宅,平湖,,平湖平湖市曹丰路与横河路交汇处,
新城金樾,12500,2居/3居/4居,87~110平米,在售,普通住宅/花园洋房/品牌地产,平湖,,平湖新07省道与九场公路交汇处(曹桥街道办对面),
科大·桂语江南,10200,3居/4居,78~118平米,在售,普通住宅/宜居生态地产,海盐,,海盐滨海新城经济开发区西场路与中乐路交叉口,
佳源·优优湘洲,9000,佳源·优优湘洲大开间户型在售中,,在售,普通住宅/经济住宅,桐乡,,桐乡桐乡金鸡路永兴路交叉口,
荣安·海上明月,12065,3居/4居,83~120平米,在售,普通住宅/品牌地产,海盐,,海盐武原新区恒锋路与北荡路交叉口,
卓越·玲珑湾,15500,4居,128平米,在售,普通住宅,平湖,,平湖南市路与毓秀路交汇处,
碧桂园·西江月,13500,3居/4居,99~142平米,在售,普通住宅,海盐,,海盐新桥北路与华丰路交汇处,
风华绮轩,14000,3居/4居,100~140平米,在售,普通住宅/花园洋房/豪华居住区/科技住宅,海盐,,海盐武原街道新桥北路与海丰路交汇处东300米,
名悦华庭,12500,2居/3居/4居,85~109平米,在售,普通住宅,平湖,,平湖曹桥街道。202省道与横河路交汇处,
阳光城翡丽海岸,12000,3居/4居,93~139平米,在售,普通住宅/品牌地产,海盐,,海盐滨海大道与华丰路交汇处,
飞虎语溪公馆,10300,3居/4居,110~122平米,在售,联排/普通住宅/花园洋房,桐乡,,桐乡崇福镇青阳路与崇新线交叉口,
海伦花城,10000,海伦花城在售中,,在售,普通住宅/经济住宅/景观居所/宜居生态地产,海盐,,海盐嘉兴海盐市通元镇南北湖大道,
梅里达花园·岸上阳光,12750,2居/3居/4居,84~128平米,在售,联排/普通住宅/现房,海宁,,海宁隆兴路双联路交叉口,
万城明珠,15800,1居,54~59平米,在售,普通住宅,海宁,,海宁海宁大道与江南大道交叉口,
御景潮源,9288,御景潮源均价为：9288元/平方米,,在售,普通住宅/花园洋房,海盐,,海盐南北湖大道和山海湖大道交汇处,
鸿翔香樟里,13600,3居/4居,85~128平米,在售,普通住宅/花园洋房,海宁,,海宁碧云路与横山路交汇处,
名门·东和园,13000,1居,,在售,标准写字楼/住宅底商/国际化社区,海宁,,海宁赞山路与碧云路,
洛塘滨河郡,12800,2居/3居,70~90平米,在售,普通住宅,海宁,,海宁海宁硖许公路与庆东路口的交叉口北侧,
