名称,价格,居室,大小,状态,标签,区域,附近学校,地址
睿怡庭,23200,4居,140~155平米,在售,普通住宅/品牌地产,[中,,[中环以内]周市镇萧林路与青阳路交叉口往东500米
凯德都会新峰,23500,3居,131~132平米,在售,普通住宅/宜居生态地产/打折优惠楼盘,[中,,[中环以外]花桥镇兆丰路11号
宏图国际花苑,23600,2居/3居,88~139平米,在售,花园洋房/地铁沿线,[中,,[中环以外]花桥镇泗泾路218号
铂翠花园,24000,4居,125~143平米,在售,普通住宅/品牌地产/低密居所/景观居所,[中,,[中环以内]玉山镇车站路庆丰路交汇处(玉山中学东侧)
长顺滨江皇冠,24000,5居/5居以上,293~323平米,在售,普通住宅/水景地产/宜居生态地产,[中,,[中环以内]玉山镇前进路与虹桥路交汇处
玉澜花园,24300,2居/3居,74~88平米,在售,普通住宅/叠拼/品牌地产,[中,,[中环以内]玉山镇长江南路与衡山路交汇处
天誉名邸,25000,2居/3居/4居,74~109平米,在售,普通住宅/花园洋房/品牌地产/低总价,[中,,[中环以外]花桥镇国际商务区光明路18号
香逸铂悦,25000,2居/3居,84~109平米,在售,普通住宅/品牌地产,[中,,[中环以外]花桥镇金变路南侧_远政路东侧
花溪公馆,25000,1居/2居/3居,141~181平米,在售,联排/普通住宅/品牌地产/复合地产,[中,,[中环以外]花桥镇绿地大道和花园路交叉口
香逸尚城,25000,香逸尚城均价为：25000元/平方米,,在售,普通住宅/花园洋房/科技住宅,[中,,[中环以外]花桥镇金中路与集善路交汇处(集善小学东侧)
艺荟兰苑,28500,2居/3居,105~140平米,在售,普通住宅/品牌地产,[中,,[中环以内]玉山镇万步路399号
银都商业广场,45000,银都商业广场在售价格为：45000元/平方米,,在售,购物中心/复合地产,[中,,[中环以外]张浦镇张浦镇银河路与新吴街交叉口
